arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.5416666666666666,-3.0070554937740765,50.0,nonlinear,0.5,73,0.0,49.106915183992825,49.99999999999786,68378.05651748566,3.0395788727305444,0.07969891579370404,0.0018629529095430183,0.0796989170370224,False,22600042022.293777
12 h,12.0,0.5416666666666666,-3.0070554937740765,50.0,linear,0.5,73,0.0,49.106915183992825,49.99999999999786,68378.05651748566,3.0395788727305444,0.07970062111324944,0.0018629442702045175,0.0797006223566662,False,22597078962.727413
12 h,12.0,0.5833333333333334,-2.733686812521887,50.0,nonlinear,0.0,73,0.0,49.0671430563025,50.00000000000064,65984.2840418456,3.309933751550051,942.7430623544037,0.0020036719803965698,4716.799497384912,True,148.94878564627174
12 h,12.0,0.5833333333333334,-2.733686812521887,50.0,linear,0.0,73,0.0,49.0671430563025,50.00000000000064,65984.2840418456,3.309933751550051,957.3348360757319,0.001993554249578306,9573.348360392354,True,7.374920318231291e-13
12 h,12.0,0.5833333333333334,-2.733686812521887,50.0,nonlinear,0.5,73,0.0,49.0671430563025,50.00000000000064,65984.2840418456,3.309933751550051,0.07982937634802634,0.0018625015805920542,0.0798293775912714,False,22511727571.64509
12 h,12.0,0.5833333333333334,-2.733686812521887,50.0,linear,0.5,73,0.0,49.0671430563025,50.00000000000064,65984.2840418456,3.309933751550051,0.07983124603330738,0.0018624923602889205,0.07983124727664756,False,22508519963.04642
12 h,12.0,0.625,-2.4603181312696987,50.0,nonlinear,0.0,73,0.0,49.002988977892834,50.000000000005926,62819.462910211354,3.7729077187282476,935.5361065825226,0.002008074511878234,4029.2576117738427,True,190.23906969745337
12 h,12.0,0.625,-2.4603181312696987,50.0,linear,0.0,73,0.0,49.002988977892834,50.000000000005926,62819.462910211354,3.7729077187282476,957.0008854901198,0.00199408681873443,9570.008854525944,True,7.024152044972709e-13
12 h,12.0,0.625,-2.4603181312696987,50.0,nonlinear,0.5,73,0.0,49.002988977892834,50.000000000005926,62819.462910211354,3.7729077187282476,0.07998831987757489,0.0018616792039644655,0.07998832111617453,False,22408202573.547607
12 h,12.0,0.625,-2.4603181312696987,50.0,linear,0.5,73,0.0,49.002988977892834,50.000000000005926,62819.462910211354,3.7729077187282476,0.07999045464753247,0.0018616689725810725,0.0799904558863339,False,22404579639.507816
12 h,12.0,0.6666666666666666,-2.18694945001751,50.0,nonlinear,0.0,73,0.0,48.900921840239825,50.000000000005215,58834.02159805431,4.537650110553048,925.3976786575373,0.00201357601811332,3424.2580854671914,True,269.61810798624043
12 h,12.0,0.6666666666666666,-2.18694945001751,50.0,linear,0.0,73,0.0,48.900921840239825,50.000000000005215,58834.02159805431,4.537650110553048,956.344566021242,0.0019940924296813827,9563.445659853314,True,6.857791744028411e-13
12 h,12.0,0.6666666666666666,-2.18694945001751,50.0,nonlinear,0.5,73,0.0,48.900921840239825,50.000000000005215,58834.02159805431,4.537650110553048,0.0801367039479802,0.0018604160032981605,0.08013670517426241,False,22308671963.417236
